zcta,year,month,day_of_month,hour_of_day,day_of_year,week_of_year,day_of_week,is_weekend,Call_counts
94102,2017,11,19,4,323,46,6,True,1.3105066028998953
94102,2017,11,19,5,323,46,6,True,1.3473932688802186
94102,2017,11,19,6,323,46,6,True,1.3853181792494926
94102,2017,11,19,7,323,46,6,True,1.424310557343103
94102,2017,11,19,8,323,46,6,True,1.4644004490420128
94102,2017,11,19,9,323,46,6,True,1.5056187459248516
94102,2017,11,19,10,323,46,6,True,1.5479972090716607
94102,2017,11,19,11,323,46,6,True,1.5915684935376426
94102,2017,11,19,12,323,46,6,True,1.6363661735157677
94102,2017,11,19,13,323,46,6,True,1.68242476820763
94102,2017,11,19,14,323,46,6,True,1.7297797684224883
94102,2017,11,19,15,323,46,6,True,1.7784676639249843
94102,2017,11,19,16,323,46,6,True,1.828525971552617
94102,2017,11,19,17,323,46,6,True,1.8799932641246329
